,content,sentiment,value
1565,Sync could use real work. Needs a manual option for when working with multiple devices. Other cloud services can be seen to work immediately on a second device. There's zero settings for synchronization.,Negative,0
1566,Tick tick should also inform us about the clashes when two things are scheduled at the same time,Negative,0
1567,Not as smooth as I hoped,Positive,1
1568,"Some good features but overall mediocre compared to my old Wunderlist. If someone shares a list with me I cannot easily join the list. The list is not auto synced with my profile. Instead I'm sent an email with a ""join list"" button. But even when I click the button I am taken to the generic sales page to download the app.",Positive,1
1569,It is great app for civil engineers like me as it helps me to planout my to-dos everyday. But the thing is on my realme x2 pro the alarms are hit n miss even after following instructions for keeping it active. Pls fix it 🙏,Positive,1
1570,Best App. pls allow to add upto 10 Habits in free version 😅,Positive,1
1571,I love the app but I am unable to login on my new device. My internet is working fine 😑,Positive,1
1572,"Q oo z a ""446eo""namaste",Negative,0
1573,Nice app,Positive,1
1574,A Call Reminder feature is absolutely needed.,Negative,0
1575,It's a good app for reminders,Positive,1
1576,Sometimes don't show reminders.,Negative,0
1577,Ok,Positive,1
1578,No doubt this app is amazing. And this app deserve 5 star but I am frustrated because this app doesn't keep log more than 90 days. I wish it could kept forever.,Positive,1
1579,"Just as I was about to rate this 5 stars, it only let me have 16 ""subtasks"" It's stupid. Let us have more ""subtasks"" and I'll give you guys 5 stars.",Negative,0
1580,Good for a long time but recently it became unusable...it would always freeze up.,Positive,1
1581,"I love this program could be 5 stars BUT... a task adds Tick Tick to the shared text in the paid version. This not good and means you have to remove it every time! WORSE IS THE Developer response I got below, clearly indicates they do not understand usability issues reported from good users. "" You can remove the TickTick information manually."" REALLY!!! Not a good suggestion for a productivity product.",Positive,1
1582,The app is not compatible to read my notifications on my wrist band.All other apps notifications do work.All settings are set on my phone to make sure i receive the notifications but in vain.Please make an update for this.(Any update on this issue please),Positive,1
1583,Lately from past two days I am facing difficulty using widget. Getting an error 'task list not found' whenever I strike off a task. Please look into it ASAP.,Negative,0
1584,No transparent theme,Negative,0
1585,Only the premium version is good,Positive,1
1586,"PLEASE FIX THE SCHEDULING THAT CHANGES TO Jan 1st 1970 when selecting any day, I can only schedule using the Today, Tomorrow and Next Monday buttons, not the calendar, this was present for over 2 months by now. Also, smart text detection doesn't work at all for "" on tommorow at 6:00PM "" for example. Please fix these 2 issues.",Positive,1
1587,Widget is slow,Negative,0
1588,"I simply love TickTick but am growing weary of the widgets not updating. If I open the app, they update after a minute or so. However, if I don't need to use the app (therefore not opening it), the widgets stop updating after some amount of time. Is there a setting I'm missing, or do I need to ""not optimize"" TickTick's battery use? EDIT: In addition, actions taken via the widget do not update the app/website until i open the app explicitly.",Negative,0
1589,It's ok. A bit messy.,Negative,0
1590,Too much options getting me confused and more complexity,Negative,0
1591,This app certainly has some really great features which others competitiors don't. Clearly have potential to be the best in the market. Cons - Sync issues Time to load up in windows 10 Bugs in habit tracker & tasks.,Positive,1
1592,I cannot login to the app,Negative,0
1593,Only allowed 9 lists for free. Need to purchase for additional lists...such a bummer. Wunderlist was much better but I had to switch over as they closed. Tick Tick is not so straightforward to sync with another user.,Positive,1
1594,Monthly widget needs to be premium:(,Negative,0
1595,"Good app. It will be better if the user could set duration of task . For example in reading or studing or every task which need to be more focused on it . I use ""flip"" App beside Tick tick app for this purpose. Thank you",Positive,1
1596,"Calendar integration is okay but buggy and quirky. Can't see calendar events in daily view without changing settings to show in all lists. Organize view can't use custom lists to plan my week. The sync with Google is unforgivably poor. If I change a calendar event it takes up to a day to reflect in TickTick. This is so bad I have begun looking for replacement. I would like to see a better support forums for community feedback. Often answers are basically ""suck it up, that's just the way it is"".",Negative,0
1597,Why not find Arabic language,Negative,0
1598,the new update has removed the repeat task option I don't know where to find it,Negative,0
1599,ok but it's not different as my phone's app,Positive,1
1600,The statistics show I missed everything in a day even though I completed 90% of the tasks,Negative,0
1601,Good,Positive,1
1602,Decent todo app for single user. Home screen widget does not receive remote updates,Negative,0
1603,3rd May 2020: It was very long time back.. requested for the feature to enable notifications for the actions done by shared members which still I am waiting for.,Positive,1
1604,You need to make a clear all data or reset everything button. I had to delete my account because it triple synced and I wanted all this mess gone and I couldn't. Please consider it.,Positive,1
1605,This is good app,Positive,1
1606,I was little starting to be comfortable comparing to other app..unless the premium came up.. I don't any personal ac to pay just to get reminded 🤧where multiple remider doesn't work..i literally start loving and hate at the same time..u can't get multiple unless u get premium..:) this ain't my app,Positive,1
1607,Thanks for this apps its fells great,Positive,1
1608,"Jury is still out.....would be more than happy to review.....if i was actually given the time to do so before the ""rate me rate me"" messages.",Positive,1
1609,I have just started using this app and it looks great - except for the drop down menu from the 3 dots which doesn't show the full menu and you cannot scroll down in it either. PLEASE FIX THIS!!,Positive,1
1610,need some options and need to be more organaise,Negative,0
1611,Please make a more sleek widget please...,Positive,1
1612,I can't scroll the widget or other screens. I'll probably subscribe if this gets reliably fixed since Wunderlist is dead now.,Negative,0
1613,Pomdoro is bad,Negative,0
1614,Can add a reminder option withthe specified time,Negative,0
1615,Unnecessarily complex. A simple one dimensional version would be fine,Positive,1
1616,It's good but it's size is large,Positive,1
1617,Jus started using. So far I like it.,Positive,1
1618,Very helpful with lots of features. I would like to see the countdown mode work on the widget too though. Also it would be delightful if we could add tasks (like the notification) with a button shortcut such as pressing the home button for some time and the prompt would pop up! But still nothing I would pay annually though..,Positive,1
1619,Just upgraded to premium version. App and Google play list subscription at $27.99. I got charged $29.84. ???,Positive,1
1620,"If time tracking was added and the parser/interface of the ""what would you like to do?"" field was fixed (this alone is making me want to switch back to Amazing Marvin), I would rate 5 stars.",Positive,1
1621,Nice one,Positive,1
1622,It could have been a robust app but these bunch of loosers want you to pay every month is annoying.,Negative,0
1623,I have the premium version. I had been using Wunderlist. The most amazing Todo app ever and very intuitive. Tick Tick has worked well as Wunderlist is no longer supported. However some key things I truly miss. Push notifications when someone texts within the app. Notification that someone else has updated or completed a task or list. Copy and paste everything I need into a section as a single item in the list instead of everything becoming its own item in a list.,Positive,1
1624,Experiência muito boa mas tem muito a ser feito.,Negative,0
1625,در زبان فارسی به علت راست چین بودن تقویم ماه از راست به چپ ولی ایام هفته از چپ به راست چیده شده و تطابق ندارند. لطفا اصلاح کنید.,Negative,0
1626,Good as it is simple and effective. It could be more enhanced.,Positive,1
1627,Good app but in free version they should add more features just like reminder with time duration. I like it's feature of description in which we can add sub task and tick then.,Positive,1
1628,Back button doesnt work,Negative,0
1629,Ticktick is one of my favourite productivity app but suddenly the habit tracker doesn't work or respond properly.,Negative,0
1630,You have to subscribe for the pro version. I'd rather just have one flat fee,Negative,0
1631,Love this app. I used to give it 5 stars but its so sliggish on the s8 and half the time the widget wont load.,Positive,1
1632,Too many items,Negative,0
1633,I would buy if there was one-time only purchase. I can't pay monthly. And it's still enough to use without premium but I want premium and one time purchase :/,Negative,0
1634,Nice app but can be improved upon in terms of navigating the app,Positive,1
1635,amazing!,Positive,1
1636,Very helpfull does a very good job. When typing an action or notes its very slow on an lg smartwine phone,Positive,1
1637,Самое лучшее приложений для управления задачами. Но ограничение в 99 задач в списке - это полная глупость,Negative,0
1638,Very good app but please update in widget,Positive,1
1639,It's very useful But I hope becoming free,Positive,1
1640,Very good app,Positive,1
1641,Perfect,Positive,1
1642,Has so many bugs it's keep crashing,Negative,0
1643,It's a good app I do use it alot but there are problems with it like if you put 2 or more reminders in a habit the notification won't work. And my other problem is with the premium. If you have money you can have better features and during these times you would prefer to save up. But the app is great I do recommend it.🌻,Positive,1
1644,I think it's a good app.,Positive,1
1645,Multifunction app that help you remember everything and anything and force you to be more productive,Positive,1
1646,Well performing,Positive,1
1647,good but no have arabic language,Positive,1
1648,Its been amazing to use tick tick,Positive,1
1649,If only it had a dark splash screen. I have set the dark theme in the app to keep it easy on my eyes at night. But that bright splash screen just ruins it. I know that Google's apps do the same thing and it's absolutely stupid.,Negative,0
1650,Best,Positive,1
1651,It will be nice if the week calender view open in free,Positive,1
1652,Great app but why not improve sync function on Wear OS. I have to buy another to-do app only because it has better support on Wear OS. So please improve it and make me only pay for this app.,Positive,1
1653,It's good for handling,Positive,1
1654,Great app.,Positive,1
1655,cool apps,Positive,1
1656,Nice app. You can organize tour day. You will not forget things anymore,Positive,1
1657,Not to be confused with TikTok a clearly inferior alternative.,Negative,0
1658,I wish it would give mote puch and be little More user friendly altogether a great app,Positive,1
1659,Nice app,Positive,1
1660,notes are great idea but without end-to-end encryption they are useless to me.,Positive,1
1661,I use this app all the time with great benefit. 4 stars instead of 5 because of crappy support when I had a technical problem with the app.,Positive,1
1662,Please add 2 way sync to google calendar with minimal delay,Negative,0
1663,Simple yet effective,Positive,1
1664,One suggestion: I hope the widget can adapt to system-wide dark mode.,Positive,1
1665,So so,Negative,0
1666,Functional features are very simple and effective to use. Not combersome. Great job,Positive,1
1667,It's a amazing app but when I add task from Windows its not automatically updating on my Android widget (I have to open app to update),Positive,1
1668,Very nice app. Ben using it for years.,Positive,1
1669,It has the most qualities i want in an app like this,Positive,1
1670,This is the first time I'm sticking with a to-do list kind of app. So far so good,Positive,1
1671,Great app! Life is so much easier. Only thing missing is a public API and support for automated backups. Please let me own my data!,Positive,1
1672,This application opens slowly when I click it.,Negative,0
1673,Enjoying this app,Positive,1
1674,Great way to prioritize,Positive,1
1675,Could you please make sure that the cases postponed to tomorrow retain their positions,Positive,1
1676,Nice app. Easy to use.,Positive,1
1677,App is great especially pomodoro mode..can u include a click to count the no of time taken to study in a day etc along with that,Positive,1
1678,Love the design of app. Please provide export options. (Reason for not giving 5 ⭐),Positive,1
1679,Great,Positive,1
1680,Good so far.,Positive,1
1681,Nice app,Positive,1
1682,Best Task app out there. Only thing it's missing is 2FA to keep accounts safe.,Positive,1
1683,تطبيق قائمة مهام ممتازة للأمانة ، وايضا يقدم داخل التطبيق تقويم وايضا هناك اداة لصنع عادات ، ولكن كل الميزات ومن ضمنها قائمة المهام والتقويم وساعة التركيز يمكن الحصول عليها من تطبيقات اخرى لدي . لذا سأفضلها على هذا التطبيق,Negative,0
1684,It helps to do tha things in better way. :) ;),Positive,1
1685,My life has officially been put together,Negative,0
1686,Nice app as I wanted,Positive,1
1687,Best planner app. There's more to it than any simple work planner app. Highly customisable and easy to use.,Positive,1
1688,Good,Positive,1
1689,請問繁體中文什麼時候才能支援農曆？真的很喜歡這個 app 也訂閱好幾年了，但一直有這個缺點。,Negative,0
1690,Nice app best planner in play store Good app for busy people,Positive,1
1691,the pomo in the ticktick website doesn't register the pomos: I can't seem to see any pomos from when I'm using the website in the pomo stats section in the app.,Negative,0
1692,Alhamdulillah it is a nice app but It's reminding timer is not accurate. Most of the time it doesn’t work on time. Please fix it. Thanks.,Positive,1
1693,Would have loved to give it 5 stars but the alarm does not works properly sometimes. Changed all required settings but it still misses some alarms. Other than that its the best to do list app I have ever seen. And the pomodoro is just awesome.....,Positive,1
1694,نمیشه برای صفحه رنگی انتخاب کرد برای همین یه ستاره کم کردم وگرنه خیلی خوبه,Negative,0
1695,Pomos don't vibrate my phone,Negative,0
1696,This is nice app,Positive,1
1697,It's amazing ok I was really happy with the ability to create list and then a task and furthermore a subtask with a customizable reminder for each However the problem start there when you turn off the pop-up notification and only rely on the regular notification panel it just shows the the subtask name with no additional infos of the main task or the list not even the tag or the customized color is included with it I really sometimes find it difficult to identify the subtask hopefully you fix it,Positive,1
1698,👍,Negative,0
1699,Nice,Positive,1
1700,"Quando digito data ou tag o texto do comando fica na tarefa, por exemplo: ""estudar today #rotina"" | Templates: O atalho pra editar eles podia ser mais visível e ter a opção de apagar tudo de uma vez. Inbox e botão de pesquisa: podia ter a opção de acessar eles na Tap Bar.",Negative,0
1701,Nice experience,Positive,1
1702,Setting periodic tasks is hard to get used to.,Negative,0
1703,Bulk voice Sms broadcaster improvement this feature in your aap plsss,Positive,1
1704,Actually like the new pomodoro statistics update but the bar chart has a flaw. I can't see the exact number of hours but rather an estimate because the exact hours aren't written onto the days like they were before. It'd be great if you could fix that otherwise love it.,Positive,1
1705,It is truly amazing app for productivity. I wish to give 5 star but many features are not available in the free version that's the reason I'm giving 4star.,Positive,1
1706,"I'm a ""to-do"" list kinda person, I rely pretty heavily on them because my memory is 👎 I like that this syncs with my Google calendar. I also like the satisfying little sound when I check a little box to mark a task complete (what can I say? It's the simple things in life 💁‍♀️). I especially like that I can schedule tasks and reminders waaaaay the heck ahead of time. Would've given 5 stars, but honestly, I'd really like a little more text options (fonts, colors, etc).",Positive,1
1707,So far it does what I need,Negative,0
1708,For habits statistics please add graphics of weeks and months progression,Positive,1
1709,Good,Positive,1
1710,Great app 👍 could you please add the option to view habits on the tommorow list.,Positive,1
1711,Achchha app hai magar kabhi kabhi dikkat aati hai.. usse fix karna jaruri hai,Negative,0
1712,Some lag in sync but otherwise good,Positive,1
1713,Pretty good good app. Does what I need it to do.,Positive,1
1714,Routine tasks if not finished are shown as an overdue....!! Please give an option to auto mark any specific routine tasks as incomplete rather than overdue....!!,Positive,1
1715,Works great. I enjoy having it available on my phone and on my work computer.,Positive,1
1716,Bring the Gantt view,Negative,0
1717,That is really useful for me. I can use it for many plan and to do things and doing chores and ... . If U can add note (for writing notes and ...) And something like goal planner and program manager it will be more useful than now. TNX,Positive,1
1718,It's amazing apart from the fact that it reminds me of you events from yesterday.,Positive,1
1719,It is need to support Arabic language,Positive,1
1720,Pretty good app. Helps get things done. Easy to use. No issues yet.,Positive,1
1721,Pretty good.,Positive,1
1722,This app was really good So Far this is the best app I used to stay on track BUT I hate it when I need to pay for premium. Please make it free?,Positive,1
1723,Terimakasih sudah membantu,Negative,0
1724,Easy n accurate....user friendly app. Voice to text funtion is also very helpful.,Positive,1
1725,Some things should be made easier like typing in the tasks one after the other easily without having to press 'Save and New' everytime.,Positive,1
1726,Helps me accomplish my tasks,Positive,1
1727,✔️This App has all the features and customisation required in a Task Mgmt app. And the developer is proactive. ❌ What freaks me is doubts about data security as the company is based out of Hong Kong.,Positive,1
1728,Pretty good. Some bugs.,Positive,1
1729,Good,Positive,1
1730,so simple and user friendly,Positive,1
1731,Godd,Negative,0
1732,Very good,Positive,1
1733,So far so good,Positive,1
1734,Good app to keep track of the to-do list,Positive,1
1735,It is a fun appp.,Positive,1
1736,A very cool program. We want Arabic.,Positive,1
1737,Ok,Positive,1
1738,Does this app have auto sync with Google account?,Negative,0
1739,This works very well!! Awesome app.,Positive,1
1740,I loved the app so much . It is amazing and helps me a lot organize my ideas.. I think if it had the option to put our tasks in order and the option of setting timer it would be very organized and irreplaceable.,Positive,1
1741,Good but some more ease is needed,Positive,1
1742,The widget is quite imlressive,Negative,0
1743,Just what I needed! Would give 5 if it had time tracker.,Negative,0
1744,I definitely recommend it.,Positive,1
1745,"Great. Better than todoist cause you can organize how you want in inbox or ""all"" view, despite priority or reminder time. That option is what sets it above. Wish that android reminders were full screen, however or that snooze reminders could be optionabke for time. View in website and windows app also could be draggable for left to right sizing of columns",Positive,1
1746,good,Positive,1
1747,Nice app,Positive,1
1748,It's user friendly... love using it..,Positive,1
1749,Like this app. It had everything I expected a ToDo list to do so I have no complaints.,Negative,0
1750,It gives notification on time which mostly apps don't give.,Negative,0
1751,Good,Positive,1
1752,nice,Positive,1
1753,Love this app. Would like to say thanks for creating this app. Three star only because calendar is bit buggy. One is there are no real time syncing with google calendar which force me to use Ticktick's calendar which is not convenient for me.,Positive,1
1754,Good fun ... Motivated,Positive,1
1755,Great app and experience all the features are great.,Positive,1
1756,It's really good app... I have been using it for few days... Really helpful... Just one thing... When I add a new task it shows up on the top of existing tasks... Can I change the settings so that it will appear at the bottom? That's why given 4 stars...,Positive,1
1757,Good,Positive,1
1758,I really like it. The reason I'm giving a 4 star is that I wish the focus promo could be set for more than 120 mins. 120 mins means I've got to keep changing it againg and againg for longer focus periods which breaks the focus. P.s. I'm using the free version. I don't know whether it available on the premium version or not.,Positive,1
1759,It is a nice app and really helps me manage my tasks especially study tasks....it should also include features like sharing schedule with friends .,Positive,1
1760,This app is great. Really nice for organizing stuff. Only thing I miss is a monthly overview with statistics.,Positive,1
1761,Really nice but need some more changes,Positive,1
1762,I love this app. Only thing that annoys me is how marking a task as complete in one device doesn't dismiss notifications on the others. :(,Positive,1
1763,Good but is there a one time fee for this thing? I abhor having to pay $2.99/month vs just paying a one time fee..,Negative,0
1764,Very good app for time management,Positive,1
1765,Excellent app.,Positive,1
1766,Tick Tick is good but it should add more ring tones please try,Positive,1
1767,Good,Positive,1
1768,this was a great tick of thing to get i am more organized now insted of just have paper to do lists i got a digital one this great and think every one shound have it tho at times it can get hard to know how to do stuff but later on you get a hang of it.i love it,Positive,1
1769,It is good but could be so much better with full Google Assistant integration...,Positive,1
1770,Pretty good. Does what I need it to do.,Positive,1
1771,Current Review: Please Add Feature Insert picture with Task Last Review: Awesome,Positive,1
1772,Optional,Negative,0
1773,Love how it's user friendly on all my devices,Positive,1
1774,يا خويا يا خويا,Negative,0
1775,Absolutely incredible app. Definitely getting premium. It has every feature you could imagine.,Positive,1
1776,One of the best productivity apps ever in my opinion. And I've seen a lot of them.,Positive,1
1777,best todo app + habit + perfect project mangement tool. all in one,Positive,1
1778,Pomo is good,Positive,1
1779,Very good,Positive,1
1780,best app reminder ever i've tried,Positive,1
1781,Incredible task management app. Absolutely love it. They have all the features I could possibly want. So impressed by its functionality and versitility. I use on both my Windows computer as well as my android phone. I put literally everything I need to do on it so it helps me out greatly. So appreciative of TickTick. Thank you! Hope it's here to stay. I'm enjoying the updates too. Highly recommend.,Positive,1
1782,When you think you are satisfied they surprise you with more .,Positive,1
1783,Useful. Very convenient,Positive,1
1784,Amazing it gets the job done literally,Positive,1
1785,🥰,Negative,0
1786,Good app for monitor day to day activities.,Positive,1
1787,Amazing!,Positive,1
1788,I've been looking for an app like this for ages! Finnaly found! The best todo app in the world. For me much much better than todoist where you have to pay even for reminders (sic!). Here you have almost everything for free. You have to try it!,Positive,1
1789,It helped me a lot,Negative,0
1790,Perfect Tasking Partner,Positive,1
1791,The best,Positive,1
1792,Previous issue has been resolved. Once again my favorite and most used app. Thanks for recent update.,Positive,1
1793,jus loved the app.,Positive,1
1794,Good for both Track Habits and To Do List..,Positive,1
1795,Does everything I want from it. Clean and intuitive design.,Positive,1
1796,Works very well.. easy to use,Positive,1
1797,Best to do list app by a mile.,Positive,1
1798,Simple and best,Positive,1
1799,Very handy app. 2 notifications on task in free version!,Positive,1
1800,One of the best Work mangement app!!,Positive,1
1801,Good,Positive,1
1802,After messing around with todoist and wunderlist I found their free versions lacking. Tick-Tick has enough unlocked to make a long term trial viable. If I am still using it in 3 months time I will upgrade. EDIT;6 weeks on and using paid for version and very useful with chrome app on Computers syncing perfectly. Update - still my main reminders tool.,Positive,1
1803,Awesome experience overall. Using for years.,Positive,1
1804,مفید,Negative,0
1805,Wonderful app I recommend it,Positive,1
1806,Ok,Positive,1
1807,رائع بالنسبة ليا .. في الأول كنت ساعات اسجل وساعات أنسى .. لحد ما اتعودت .. جميل جدا,Negative,0
1808,User interface is very good,Positive,1
1809,Works good,Positive,1
1810,Very nice,Positive,1
1811,Very customizable and full of branching!!,Negative,0
1812,Very good,Positive,1
1813,This is excellent. Does exactly what you need it to do. Recommended if you just want a simple task & reminder app.,Positive,1
1814,Good app,Positive,1
1815,Good,Positive,1
1816,Good App,Positive,1
1817,This app is really great,Positive,1
1818,Best to do habit tool.o have used,Positive,1
1819,I like how the dou,Positive,1
1820,👌👌👌😎,Negative,0
1821,It's simple and fast...,Negative,0
1822,Excellent app ... loving it ... best replacement of wunderlist. (My mistake about Family Library. In App purchases can't be shared in Google Family Library as a standard. Nothing to do with ticktick team. Reverted to 5 star),Positive,1
1823,help me to increase my productivity,Positive,1
1824,"Multi-tag search is very much needed! e.g. ""#next #next"" in search bar",Negative,0
1825,This is app is great,Positive,1
1826,Great app... All in ione app... Should try!!!,Positive,1
1827,Good 🙂👍,Positive,1
1828,Need to little colourfull,Negative,0
1829,Best tasks app. Period,Positive,1
1830,Excited about making a future,Positive,1
1831,It's awesome👍,Positive,1
1832,Outstanding app really loved it 💙✨,Positive,1
1833,Simply the best productivity app,Positive,1
1834,Best app for ha bit creation I loved it Super,Positive,1
1835,Amazing got to know about it from mkbhd,Positive,1
1836,I am quite comfortable with it. Quite convenient. Meeting my expectations well.,Positive,1
1837,I've been using for like 2 years... No complaints,Negative,0
1838,Half baked nested tasking feature has hugely impacted the usability of the app. Reminders and repeats are completely messed up. Don't know what is the purpose.,Negative,0
1839,Okay.,Positive,1
1840,Great tool to boost productivity!!,Positive,1
1841,Very intuitive and user friendly,Positive,1
1842,Great for persistent reminders! If you liked Due on the iPhone and were looking for a replacement this is it.,Positive,1
1843,Best app for being productive. 10/10,Positive,1
1844,Very helpful application in analysis of your effort scores 👍🔥 highly recommended 👍🔥,Positive,1
1845,Does great for a to do list planner..,Positive,1
1846,Good app. Highly advise you to test it.,Positive,1
1847,How awesome this app is. Makes it a breeze to track what needs to be done. Also love the new kanban view!,Positive,1
1848,This really helped me organizer my day,Negative,0
1849,Best planner I have ever tried do far,Positive,1
1850,Trust me guys..I have been searching for such an app in the whole playstore!this is the best of all😍No purchasing required!Without purchasing we can choose upto 5 habits that's enough and more...this is really cool😍😍,Positive,1
1851,THE BEST ONE OF THESE TYPE OF APPS! Has all you may need!,Positive,1
1852,Amazing,Positive,1
1853,Seems good so far,Positive,1
1854,Some daily tasks just disappear a minute after I tick them. This bug is affecting me for about a week now and I'm already tired of it.,Negative,0
1855,Really useful app. It helps you to organise your day properly and reminds you important things on time.,Positive,1
1856,That's the app which I was looking for,Negative,0
1857,This is worth your time and totally recommended app,Positive,1
1858,It's best app for control your time It's perfect app👌👌👑👑👌👌,Positive,1
1859,Ut's an amazing app to control your plans,Positive,1
1860,The best habit app I've ever used and I've tried a bunch! The UI is beautiful and the app is very responsive.,Positive,1
1861,A good one to go with especially with your study time table.,Positive,1
1862,Love it so far!! Favorite task manager that I've tried and I've tried a lot.,Positive,1
1863,This should be default calendar app by now. Give us that option.,Negative,0
1864,It's great for catching up with assignments! ^^,Positive,1
1865,Needed this a lot... Using this a lot... Has become a part of my daily life... Edit: Thank you so much once again for this great app.,Positive,1
1866,"Since joining their very affordable monthly subscription, I've found TickTick to be an indispensable part in my daily routine, and it's actually helping me be more productive even though I'm a pretty begrudging procrastinator. First off, the widgets. God, I love the widgets! The first thing I see after unlocking my phone is A) a list of all the stuff I need to be doing on that given day; and B) a cute visual checklist of daily habits that I need to also make time for. This was what I found was missing back when I used the ToDoIst app, was a simple means of having both habits and to-dos living in the same shared ecosystem. I suppose there are technically more dedicated habit apps with deeper tracking features, but what's here is perfectly functional, and easily integrates into your regular 'inbox'/'today' lists. The widgets update dynamically, right along with the full-screen app, and also with the PC and web integrations. This was a ""must-have"" feature, because I've tried other productivity apps where there is lag time between inputs on the widget, and seeing them ""refreshed"" into existence several minutes later in the app itself. TickTick makes everything instant, to the point that a TickTick notification 'pings' on my phone at the precise moment it also 'pings' on my laptop. I really can't understate how useful the widget and cross-platform integration is, because for someone like me who procrastinates a lot and forgets what I'm meant to be doing at any random moment, it's so useful to just open up my phone and instantly have my most important tasks/habits slap me in the face, demanding my attention. This also ties in nicely with the way notifications/alerts work. I've got reminders set on all my habits, and when the reminders go off, they actually ""take over"" the entire screen, at which point I can tick them off, or dig into the more extensive options on the back-end. There's a few areas I can see for quality-of-life improvements, though I'm optimistic that their subscription model means we haven't seen the ""final"" iteration of this app for some time yet. A few things that jump out at me over a couple months' usage: -- To mark a habit as ""incomplete"", you can't just double-tap the checkbox for an 'X' mark, you have to open the app, pull up the relevant habit in the dashboard, go into its settings, and the option is buried all the way in the app's back-end menus. It's a minor gripe, but when compounded over weeks or months of use, it's easy to just not bother marking your ""failures"" at all. It makes me wonder if there's other useful features I've missed just because they're not readily accessible on the front end UI + widgets. -- It would be nice if habits displayed in the widget + front-end UI had a visual indicator of how many days that habit has been on ""streak"" for. You can track those metrics, but again it's hidden in the robust-yet-opaque back-end, accessible via sub-menus and abstract graphs, rather than being loudly displayed front-and-centre. I'd probably be more motivated to ""keep the streak going"" with a given habit if I could see at a split-second glance how today's efforts fit into the context of the previous 7 days, or whatever. --Also, you can set habits to only repeat on certain days of the week, or a certain number of times per week, but again its not really visible at a quick glance to know if you're on track or falling behind. By which I mean, when I pull up my habits for Thursdayy, for instance, and I see ""exercise at gym"" in my list of habits for that day, then surely I should get some indication of ""you've been to the gym X times this week so far, and you have Y gym sessions remaining for this week [in order to fulfil your habitual obligations]"". Again, the information is there in the app, but you have to actively seek it out. Maybe the more fastidious time-keepers will see to this without batting an eye, but for forgetful, ADHD-prone types like myself, if it's not right in front of me then it might as well not exist. But all in all, these are minor foibles. Fantastic app. 5/5.",Positive,1
1867,Really a full package app for all types of need I loved it so much.,Positive,1
1868,It's a very good task manager app than compared to Todoist with the free plan.🙂🙂🙂,Positive,1
1869,Perfect specially on laptop,Positive,1
1870,Very user-friendly. The free version is good enough. I like it!,Positive,1
1871,The best to do app I've used so far,Positive,1
1872,Best app for sure for estate agents,Positive,1
1873,Best. To do list. Ever,Positive,1
1874,Wonder Full,Negative,0
1875,"Really good app, both when it comes to managing tasks and tracking habits. It supports language input when creating tasks such as ""every Monday"". It also has a few useful widgets for the home screen. Only bad thing about this app is that you have to pay if you want to get access to all features, but it's not that expensive and the app is really good even without premium so that's why it still gets five stars from me.",Positive,1
1876,"The description didn't tell me that filters were premium when it listed premium features. Edit: Maybe saying something like ""TickTick premium features include the following and more"" would be more clear - thanks for the reply!",Positive,1
1877,Very Effective Application,Positive,1
1878,Good,Positive,1
1879,Its good to organize schedule,Positive,1
1880,Please add Money management also.,Positive,1
1881,Great to keep you on track,Positive,1
1882,Have used daily for 2 years now I like how it's customizable and I can see events for several years ahead at a glance. That native alarm is loud enough but not blaring and it's great for repetitive events or tasks.😻 There are NO ADS!!,Positive,1
1883,Deserves the 5 star and support is incredible!,Positive,1
1884,Perfect💜,Positive,1
1885,Wonderful app to keep you up to date and to remind you to complete your tasks in time.,Positive,1
1886,Good features and Sample interface,Positive,1
1887,I love this app. It helps a lot.,Positive,1
1888,Good,Positive,1
1889,I can't speak more highly of this app. It just keeps getting better. I came over from Todoist several months ago and have not regretted it for a single day. Keep up the great work!,Positive,1
1890,Great Work 💪🏻,Positive,1
1891,Very clean and straight forward to use.,Positive,1
1892,I love This App. Actually Calender widget is very handy I been Using it From Past 5 months.Give it A try you'll Love it Definitely !!,Positive,1
1893,Love the free version! Considering the paid version - seems pricey for an annual fee.,Positive,1
1894,Awesome app The best to do app that I have used and I have. Used a lot it's better than todoist for its coustimization even in the free version. It's just great!,Positive,1
1895,It's very fruitful to get done my work as productive.,Negative,0
1896,Perfect app in all kind,Positive,1
1897,The best I've ever seen out of dozens of apps. Regularly makes small improvements. Always room for improvement but thoroughly impressed.,Positive,1
1898,Good,Positive,1
1899,Very good. And has all the options that you need. It seems they have thought of everything. I would recommend this app.,Positive,1
1900,Awesome,Positive,1
1901,Best in class,Positive,1
1902,"So far, I think it's good enough, but a little advice from me, it would be better if the ""note"" mode added a folder feature, that is, we can ""add notes to a note"". Hopefully it can be responded to and thank you for reading.",Positive,1
1903,Luis🚨📢🚫♨🔥,Negative,0
1904,#live #love #music #life #like #instagram #instagood #concert #livemusic #follow #happy #photography #rock #photooftheday #smile #singer #art #musica #lifestyle #fun #laugh #o #friends #likeforlikes #youtube #guitar #artist #show #band #bhfyp,Positive,1
1905,Very useful for university students,Positive,1
1906,Good app,Positive,1
1907,So much better than Google or Microsoft similar apps. A practical app that provides every thing you need even in free mode.,Positive,1
1908,The only app that effectively helps me get things done.,Positive,1
1909,Awesome and easy to use app,Positive,1
1910,like it!,Positive,1
1911,Awesome.,Positive,1
1912,Very usefull app,Negative,0
1913,Nice amazing app .,Positive,1
1914,Very useful for task management.,Positive,1
